latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_max (km/h)
2025-12-04,4.1,-0.3,12.1
2025-12-05,4.3,1.9,10.0
2025-12-06,4.3,-0.2,13.6
2025-12-07,9.1,3.7,14.9
2025-12-08,12.7,6.2,17.1
2025-12-09,11.7,10.1,13.0
2025-12-10,11.4,8.5,15.6
2025-12-11,10.2,6.0,16.6
2025-12-12,6.2,2.7,10.0
2025-12-13,7.9,3.2,13.3
2025-12-14,6.3,3.2,13.5
2025-12-15,6.4,2.8,13.7
2025-12-16,5.1,-0.2,11.2
2025-12-17,4.2,-2.0,11.4
2025-12-18,8.7,2.1,15.2
2025-12-19,9.1,4.7,15.5
2025-12-20,7.8,4.0,9.2
2025-12-21,7.1,4.8,14.2
2025-12-22,4.5,1.4,14.8
2025-12-23,2.6,0.6,19.0
2025-12-24,-0.2,-6.6,15.2
2025-12-25,-4.3,-9.1,12.2
2025-12-26,-0.7,-8.6,6.7
2025-12-27,3.5,-1.5,17.6
2025-12-28,1.8,-2.2,17.6
2025-12-29,3.8,-1.2,24.1
2025-12-30,2.2,-2.2,19.5
2025-12-31,2.8,-3.7,17.8
2026-01-01,3.0,1.5,24.8
2026-01-02,2.5,-0.8,24.8
2026-01-03,0.2,-1.8,23.8
